epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,479.019,1.20978,1.50569,1.52606,0.41927,0.46079,0.38397,0.1997,1.70363,1.9048,2.24662,0.000495125,0.000495125,0.000495125
63,486.392,1.20621,1.49452,1.51073,0.47434,0.42103,0.40769,0.21218,1.71933,1.938,2.24238,0.00048275,0.00048275,0.00048275
64,494.744,1.19889,1.51418,1.52601,0.53509,0.41536,0.46809,0.25726,1.65234,1.88638,2.15118,0.000470375,0.000470375,0.000470375
65,501.559,1.20425,1.52256,1.51186,0.53747,0.45384,0.47476,0.2461,1.77812,1.94868,2.2611,0.000458,0.000458,0.000458
66,510.539,1.16131,1.47372,1.50387,0.47604,0.47012,0.46195,0.24867,1.68545,1.81333,2.15103,0.000445625,0.000445625,0.000445625
67,517.131,1.16706,1.50638,1.4936,0.40834,0.41615,0.39775,0.21248,1.69662,1.92384,2.15751,0.00043325,0.00043325,0.00043325
68,525.213,1.17148,1.488,1.4845,0.47292,0.4843,0.46375,0.23773,1.70172,1.84869,2.20039,0.000420875,0.000420875,0.000420875
69,531.561,1.13991,1.49384,1.47916,0.43843,0.48063,0.44245,0.23031,1.72932,2.03401,2.2414,0.0004085,0.0004085,0.0004085
70,540.502,1.11723,1.40355,1.43156,0.48558,0.48649,0.47608,0.26042,1.68028,1.84877,2.20944,0.000396125,0.000396125,0.000396125
71,547.725,1.14829,1.44161,1.46795,0.42749,0.46877,0.42986,0.23688,1.71152,1.89675,2.20656,0.00038375,0.00038375,0.00038375
72,556.043,1.11908,1.43039,1.4503,0.51599,0.42211,0.43174,0.23156,1.76458,1.85869,2.27547,0.000371375,0.000371375,0.000371375
73,562.423,1.10535,1.37892,1.44473,0.58013,0.37888,0.46232,0.2601,1.62555,1.8253,2.11865,0.000359,0.000359,0.000359
74,571.115,1.0903,1.4033,1.42324,0.4931,0.42185,0.47893,0.26122,1.65368,1.81942,2.14181,0.000346625,0.000346625,0.000346625
75,577.877,1.09213,1.34919,1.44259,0.53404,0.39158,0.46897,0.25385,1.67043,1.88623,2.17182,0.00033425,0.00033425,0.00033425
76,586.903,1.09147,1.38595,1.42821,0.63047,0.36191,0.48346,0.25297,1.65283,1.8097,2.18164,0.000321875,0.000321875,0.000321875
77,594.583,1.08915,1.36554,1.41368,0.53771,0.4322,0.44674,0.22739,1.70543,1.88196,2.23144,0.0003095,0.0003095,0.0003095
78,602.539,1.10409,1.32329,1.41555,0.45885,0.45206,0.43695,0.2287,1.7135,1.88611,2.23542,0.000297125,0.000297125,0.000297125
79,609.496,1.1108,1.39567,1.44031,0.46961,0.42728,0.45494,0.24188,1.66719,1.82196,2.1705,0.00028475,0.00028475,0.00028475
80,617.938,1.03103,1.28713,1.37798,0.55095,0.40405,0.47027,0.25214,1.63299,1.83115,2.12227,0.000272375,0.000272375,0.000272375
81,625.162,1.06718,1.26611,1.39939,0.48333,0.46417,0.50044,0.26989,1.61803,1.80094,2.12223,0.00026,0.00026,0.00026
82,633.12,1.02216,1.24041,1.38111,0.48466,0.53829,0.4728,0.26022,1.65069,1.86799,2.14824,0.000247625,0.000247625,0.000247625
83,640.944,1.00378,1.20534,1.37383,0.40761,0.54693,0.46247,0.259,1.67339,1.90397,2.19503,0.00023525,0.00023525,0.00023525
84,648.924,1.03337,1.26851,1.38415,0.44429,0.52193,0.49291,0.25782,1.67261,1.90023,2.2068,0.000222875,0.000222875,0.000222875
85,656.113,0.98861,1.19635,1.32878,0.49599,0.47657,0.50321,0.25559,1.68649,1.89731,2.22877,0.0002105,0.0002105,0.0002105
86,663.655,1.04299,1.27471,1.36972,0.56868,0.45855,0.48775,0.24708,1.66584,1.919,2.23281,0.000198125,0.000198125,0.000198125
87,670.969,1.02112,1.2628,1.3611,0.58032,0.41767,0.46249,0.2388,1.78127,1.90906,2.34319,0.00018575,0.00018575,0.00018575
88,678.488,0.99368,1.25147,1.35755,0.52072,0.46942,0.47036,0.24479,1.75985,1.79579,2.30182,0.000173375,0.000173375,0.000173375
89,685.22,1.01915,1.21425,1.38342,0.46097,0.46533,0.48529,0.25872,1.7236,1.78403,2.26704,0.000161,0.000161,0.000161
90,693.833,1.00446,1.19496,1.37148,0.57174,0.46609,0.52504,0.27506,1.71831,1.69573,2.2659,0.000148625,0.000148625,0.000148625
91,704.465,1.13852,1.35591,1.58606,0.48701,0.46189,0.45328,0.23466,1.75648,1.7782,2.32005,0.00013625,0.00013625,0.00013625
92,711.389,0.9739,1.15884,1.44339,0.38778,0.47745,0.40252,0.18771,1.91447,2.06878,2.57181,0.000123875,0.000123875,0.000123875
93,720.486,1.01068,1.09234,1.47851,0.44512,0.46094,0.42301,0.21401,1.81021,1.99381,2.39421,0.0001115,0.0001115,0.0001115
94,727.096,0.90859,1.04043,1.38527,0.52398,0.47503,0.4828,0.24358,1.73421,1.83718,2.2853,9.9125e-05,9.9125e-05,9.9125e-05
95,735.363,0.87243,0.99316,1.36753,0.52108,0.46985,0.49044,0.25696,1.72893,1.80863,2.26817,8.675e-05,8.675e-05,8.675e-05
96,741.82,0.872,0.90679,1.37367,0.51745,0.46438,0.48321,0.26777,1.69443,1.76279,2.22851,7.4375e-05,7.4375e-05,7.4375e-05
97,749.788,0.81925,0.88101,1.32245,0.51662,0.47889,0.4845,0.27054,1.67613,1.74762,2.21827,6.2e-05,6.2e-05,6.2e-05
98,756.246,0.8498,1.0067,1.38563,0.53555,0.48422,0.48995,0.26738,1.67036,1.76122,2.20882,4.9625e-05,4.9625e-05,4.9625e-05
99,763.623,0.83786,0.8871,1.33496,0.52188,0.48601,0.48992,0.26959,1.68583,1.7635,2.22814,3.725e-05,3.725e-05,3.725e-05
100,770.514,0.82644,0.90739,1.34481,0.54059,0.48603,0.49495,0.271,1.69014,1.7606,2.23915,2.4875e-05,2.4875e-05,2.4875e-05
